Script Name,Primary Niche,Secondary Niche,Tertiary Niche,Platform,Priority,Goal,Reasoning
Script 39,Tech/Gadget Creator,Productivity Creator,Smart Buyer Creator,YouTube Shorts,Medium,Conversion,Electronics buying
Script 40,Student Creator,Art/Creative Creator,Relatable Creator,Instagram Reels,High,Viral,Project urgency
Script 43,Comedy Relatable Creator,Daily Life Creator,Gen Z Creator,Instagram Reels,High,Viral,Power cut chaos
Script 45,Student/Education Creator,Study Influencer,Productivity Creator,YouTube Shorts,Medium,Conversion,Exam prep
Script 46,Budget Lifestyle Creator,Student Creator,Relatable Creator,Instagram Reels,High,Viral,Savings frustration
Script 48,Relatable Chaos Creator,Student Creator,Comedy Creator,Instagram Reels,High,Viral,Panic scenario
Script 49,Family Content Creator,Emotional Storytelling Creator,Inspirational Creator,YouTube Shorts,Medium,Trust,Dadi tech
Script 50,Parenting/Mom Creator,Family Audience Creator,Relatable Lifestyle Creator,YouTube Shorts,Medium,Conversion,Kids product
Script 51,Emotional Storytelling Creator,Nostalgia Content Creator,Social Awareness Creator,YouTube Shorts,Medium,Trust,Childhood shop
Script 52,Relatable Daily Life Creator,Comedy Creator,Local Lifestyle Creator,Instagram Reels,High,Viral,Aunty humor
Script 53,Sibling/Family Creator,Comedy Relatable Creator,Gen Z Creator,Instagram Reels,High,Viral,Sibling humor
Script 54,Beauty Influencer,Lifestyle Creator,Female Audience Creator,Instagram Reels,Medium,Conversion,Beauty urgency
Script 56,Emotional Lifestyle Creator,Relatable Creator,Storytelling Influencer,YouTube Shorts,Medium,Trust,New city emotion
Script 59,Rural/Desi Creator,Emotional Storytelling Creator,Social Impact Creator,YouTube Shorts,Medium,Trust,Rural story
Script 60,Minimalist Lifestyle Creator,Relatable Creator,Smart Living Creator,Instagram Reels,Medium,Conversion,Simple solution
Script 62,Comedy + Sibling Creator,Finance Awareness Creator,Relatable Creator,Instagram Reels,High,Viral,Overpricing humor
Script 63,Family Female Creator,Home Lifestyle Creator,Relatable Creator,YouTube Shorts,Medium,Conversion,Mother-daughter
Script 64,Tech/Smart Buyer Creator,Aesthetic Creator,Productivity Creator,YouTube Shorts,Medium,Conversion,Decision logic
Script 65,Relatable Lifestyle Creator,Lazy/Convenience Creator,Home Setup Creator,Instagram Reels,High,Viral,Home laziness
Script 66,Fashion/Shopping Creator,Female Lifestyle Creator,Relatable Creator,Instagram Reels,High,Viral,Expectation vs reality
Script 67,Sibling Comedy Creator,Relatable Creator,Gen Z Creator,Instagram Reels,High,Viral,Maggi humor
Script 68,Cinematic Creator,Social Awareness Creator,Storytelling Influencer,YouTube Shorts,Low,Branding,Cinematic contrast
Script 69,Comedy + Daily Life Creator,Relatable Creator,Youth Creator,Instagram Reels,High,Viral,Funny fall
Script 70,Tech/Lifestyle Creator,Conversation Creator,Relatable Creator,YouTube Shorts,Medium,Conversion,Electronics discussion
Script 71,Aesthetic Gen Z Creator,Trend Influencer,Lifestyle Creator,Instagram Reels,Medium,Viral,Trend vibe
Script 72,Social Awareness Creator,Local Business Advocate,Emotional Creator,YouTube Shorts,Medium,Trust,Shop struggle
Script 73,Entrepreneur Creator,Small Business Creator,Motivational Creator,YouTube Shorts,Medium,Conversion,Authority tone
Script 74,Business/Educational Creator,Entrepreneur Creator,Informational Creator,YouTube Shorts,Medium,Conversion,B2B explanation
Script 75,Social Awareness Creator,Educational Creator,Relatable Creator,YouTube Shorts,Medium,Trust,Visibility problem
Script 76,Business/Educational Creator,Entrepreneur Creator,Informational Creator,YouTube Shorts,Medium,Conversion,Onboarding issue
Script 77,Aesthetic Lifestyle Creator,Female Gen Z Creator,Home Decor Creator,Instagram Reels,Medium,Conversion,Zen lifestyle
Script 78,Social Awareness Creator,Minimalist Creator,Storytelling Influencer,YouTube Shorts,Medium,Trust,Simple explanation
Script 79,Shopkeeper POV Creator,Entrepreneur Creator,Emotional Creator,YouTube Shorts,Medium,Conversion,Shop growth
Script 81,Relatable Creator,Social Awareness Creator,Minimalist Creator,Instagram Reels,Medium,Trust,Simple story
Script 82,Smart Lifestyle Creator,Tech Creator,Premium Creator,YouTube Shorts,Medium,Conversion,Smart logic
Script 84,Relatable Lifestyle Creator,Minimalist Creator,Daily Life Creator,Instagram Reels,High,Viral,Behavior change
Script 85,Family Female Creator,Home Lifestyle Creator,Relatable Creator,YouTube Shorts,Medium,Conversion,Family buying
Script 87,Business Awareness Creator,Entrepreneur Creator,Educational Creator,YouTube Shorts,Medium,Conversion,B2B pitch
Script 89,Relatable Lifestyle Creator,Minimalist Creator,Smart Buyer Creator,Instagram Reels,High,Viral,Convenience frustration
Script 91,Home Improvement Creator,Relatable Creator,DIY Creator,YouTube Shorts,Medium,Conversion,Hardware use case
Script 92,Shopkeeper POV Creator,Entrepreneur Creator,Educational Creator,YouTube Shorts,Medium,Conversion,Shop growth
Script 93,Emotional Storytelling Creator,Social Awareness Creator,Cinematic Creator,YouTube Shorts,Medium,Trust,Nostalgia
Script 94,Relatable Female Creator,Lifestyle Creator,Conversation Creator,Instagram Reels,High,Viral,Friend discussion
Script 95,Fashion/Aesthetic Creator,Gen Z Creator,Trend Influencer,Instagram Reels,Medium,Conversion,Unique fashion
Script 97,Sibling Comedy Creator,Aesthetic Creator,Relatable Creator,Instagram Reels,High,Viral,Middleman joke
Script 98,Content Creator/Behind Scenes Creator,Comedy Creator,Relatable Creator,Instagram Reels,High,Viral,Creator POV
Script 99,Aesthetic Gen Z Creator,Fashion Creator,Trend Influencer,Instagram Reels,Medium,Viral,Aesthetic frustration
Script 100,Cinematic Storytelling Creator,Tech/Smart Creator,Adventure Creator,YouTube Shorts,Low,Branding,Heist storytelling
